elapsed_sec,walker_x,walker_y,walker_rotZ,shadow_x,shadow_y,shadow_rotZ,pos_distance,rot_diff_deg
0.100,478.185,241.292,62.051,123.345,253.394,-72.328,355.047,134.379
0.200,478.185,241.292,62.051,123.345,253.394,-72.328,355.047,134.379
0.300,478.185,241.292,62.051,123.345,253.394,-72.328,355.047,134.379
0.400,478.185,241.292,62.051,123.345,253.394,-72.328,355.047,134.379
0.500,478.185,241.292,62.051,123.345,253.394,-72.328,355.047,134.379
0.600,478.185,241.292,62.051,123.345,253.394,-72.328,355.047,134.379
0.700,478.185,241.292,62.051,123.345,253.394,-72.328,355.047,134.379
0.800,478.185,241.292,62.051,123.345,253.394,-72.328,355.047,134.379
0.900,478.185,241.292,62.051,123.345,253.394,-72.328,355.047,134.379
1.000,478.185,241.292,60.051,123.345,253.394,-72.328,355.047,132.379
1.100,478.185,241.292,50.051,123.345,253.394,-72.328,355.047,122.379
1.200,478.185,241.292,38.051,123.345,253.394,-72.328,355.047,110.379
1.300,478.185,241.292,26.051,123.345,253.394,-72.328,355.047,98.379
1.400,478.185,241.292,16.051,123.345,253.394,-72.328,355.047,88.379
1.500,478.185,241.292,26.051,123.345,253.394,-72.328,355.047,98.379
1.600,478.185,241.292,36.051,123.345,253.394,-72.328,355.047,108.379
1.700,478.185,241.292,44.051,123.345,253.394,-72.328,355.047,116.379
1.800,478.185,241.292,56.051,123.345,253.394,-72.328,355.047,128.379
1.900,478.185,241.292,60.051,123.345,253.394,-72.328,355.047,132.379
2.000,478.185,241.292,64.051,123.345,253.394,-72.328,355.047,136.379
2.100,478.185,241.292,68.051,123.345,253.394,-72.328,355.047,140.379
2.200,478.185,241.292,68.051,123.345,253.394,-72.328,355.047,140.379
2.300,478.185,241.292,76.051,123.345,253.394,-72.328,355.047,148.379
2.400,478.185,241.292,88.051,123.345,253.394,-72.328,355.047,160.379
2.500,478.185,241.292,100.052,123.345,253.394,-72.328,355.047,172.379
2.600,478.185,241.292,110.052,123.345,253.394,-72.328,355.047,177.621
2.700,478.185,241.292,120.052,123.345,253.394,-72.328,355.047,167.621
2.800,478.185,241.292,130.052,123.345,253.394,-72.328,355.047,157.621
2.900,457.501,227.314,122.052,123.345,253.394,-72.328,335.173,165.621
3.000,414.274,202.305,118.052,123.345,253.394,-72.328,295.381,169.621
3.100,369.928,179.333,116.052,123.345,253.394,-72.328,257.465,171.621
3.200,324.314,158.975,114.052,123.345,253.394,-72.328,222.045,173.621
3.300,278.701,138.618,114.052,123.345,253.394,-72.328,193.156,173.621
3.400,233.088,118.260,114.052,123.345,253.394,-72.328,174.083,173.621
3.500,186.829,99.522,108.052,123.345,253.394,-72.328,166.454,179.621
3.600,137.928,89.676,98.051,123.345,253.394,-72.328,164.367,170.379
3.700,88.076,88.761,86.051,123.345,253.394,-72.328,168.369,158.379
3.800,39.122,98.231,74.051,123.345,253.394,-72.328,176.548,146.379
3.900,-6.793,117.672,62.051,123.345,253.394,-72.328,188.033,134.379
4.000,-48.635,144.791,52.051,123.345,253.394,-72.328,203.401,124.379
4.100,-78.567,173.644,40.051,123.345,253.394,-72.328,217.091,112.379
4.200,-78.567,173.644,30.051,123.345,253.394,-72.328,217.091,102.379
4.300,-78.567,173.644,18.051,123.345,253.394,-72.328,217.091,90.379
4.400,-78.567,173.644,6.051,123.345,253.394,-72.328,217.091,78.379
4.500,-78.567,173.644,-5.949,123.345,253.394,-72.328,217.091,66.379
4.600,-78.567,173.644,-15.949,123.345,253.394,-72.328,217.091,56.379
4.700,-78.567,173.644,-27.949,123.345,253.394,-72.328,217.091,44.379
4.800,-78.567,173.644,-39.949,123.345,253.394,-72.328,217.091,32.379
4.900,-78.567,173.644,-39.949,123.345,253.394,-72.328,217.091,32.379
5.000,-67.876,186.408,-39.949,123.345,253.394,-72.328,202.614,32.379
5.100,-36.933,225.614,-37.949,123.345,253.394,-72.328,162.667,34.379
5.200,-8.484,255.964,-45.949,123.345,253.394,-72.328,131.854,26.379
5.300,-8.484,255.964,-57.949,123.345,253.394,-72.328,131.854,14.379
5.400,-8.484,255.964,-67.949,123.345,253.394,-72.328,131.854,4.379
5.500,-8.484,255.964,-77.949,123.345,253.394,-72.328,131.854,5.621
5.600,-8.484,255.964,-83.949,123.345,253.394,-72.328,131.854,11.621
5.700,-8.484,255.964,-87.949,123.345,253.394,-72.328,131.854,15.621
5.800,-8.484,255.964,-93.949,123.345,253.394,-72.328,131.854,21.621
5.900,-8.484,255.964,-93.949,123.345,253.394,-72.328,131.854,21.621
6.000,-8.484,255.964,-93.949,123.345,253.394,-72.328,131.854,21.621
6.100,8.127,254.817,-93.949,123.345,253.394,-72.328,115.227,21.621
6.200,57.958,251.378,-93.949,123.345,253.394,-72.328,65.418,21.621
6.300,66.263,250.804,-93.949,123.345,253.394,-72.328,57.140,21.621
6.400,66.263,250.804,-93.949,123.345,253.394,-72.328,57.140,21.621
6.500,91.179,249.085,-93.949,123.345,253.394,-72.328,32.453,21.621
6.600,99.484,248.511,-93.949,123.345,253.394,-72.328,24.355,21.621
6.700,99.484,248.511,-93.949,123.345,253.394,-72.328,24.355,21.621
6.800,99.484,248.511,-93.949,123.345,253.394,-72.328,24.355,21.621
6.900,99.484,248.511,-83.949,123.345,253.394,-72.328,24.355,11.621
7.000,99.484,248.511,-77.949,123.345,253.394,-72.328,24.355,5.621
7.100,99.484,248.511,-77.949,123.345,253.394,-72.328,24.355,5.621
7.200,99.484,248.511,-77.949,123.345,253.394,-72.328,24.355,5.621
