elapsed_time,walker_posx, walker_posy, walker_rotz,shadow_posx, shadow_posy, shadow_rotz,distanceangle
0.100,-681.496,159.046,22.116,431.154,136.504,-77.638,1112.877,99.754
0.200,-681.496,159.046,22.116,431.154,136.504,-77.638,1112.877,99.754
0.300,-681.496,159.046,22.116,431.154,136.504,-77.638,1112.877,99.754
0.400,-681.496,159.046,14.116,431.154,136.504,-77.638,1112.877,91.754
0.500,-681.496,159.046,2.116,431.154,136.504,-77.638,1112.877,79.754
0.600,-681.496,159.046,-9.884,431.154,136.504,-77.638,1112.877,67.754
0.700,-681.496,159.046,-21.884,431.154,136.504,-77.638,1112.877,55.754
0.800,-681.496,159.046,-31.884,431.154,136.504,-77.638,1112.877,45.754
0.900,-681.496,159.046,-37.884,431.154,136.504,-77.638,1112.877,39.754
1.000,-681.496,159.046,-37.884,431.154,136.504,-77.638,1112.877,39.754
1.100,-681.496,159.046,-43.884,431.154,136.504,-77.638,1112.877,33.754
1.200,-681.496,159.046,-55.884,431.154,136.504,-77.638,1112.877,21.754
1.300,-681.496,159.046,-65.884,431.154,136.504,-77.638,1112.877,11.754
1.400,-681.496,159.046,-77.884,431.154,136.504,-77.638,1112.877,0.246
1.500,-681.496,159.046,-89.884,431.154,136.504,-77.638,1112.877,12.246
1.600,-681.496,159.046,-101.884,431.154,136.504,-77.638,1112.877,24.246
1.700,-681.496,159.046,-103.884,431.154,136.504,-77.638,1112.877,26.246
1.800,-681.496,159.046,-103.884,431.154,136.504,-77.638,1112.877,26.246
1.900,-681.496,159.046,-103.884,431.154,136.504,-77.638,1112.877,26.246
2.000,-681.496,159.046,-111.884,431.154,136.504,-77.638,1112.877,34.246
2.100,-681.496,159.046,-113.884,431.154,136.504,-77.638,1112.877,36.246
2.200,-681.496,159.046,-115.884,431.154,136.504,-77.638,1112.877,38.246
2.300,-681.496,159.046,-127.884,431.154,136.504,-77.638,1112.877,50.246
2.400,-681.496,159.046,-125.884,431.154,136.504,-77.638,1112.877,48.246
2.500,-681.496,159.046,-113.884,431.154,136.504,-77.638,1112.877,36.246
2.600,-681.496,159.046,-101.884,431.154,136.504,-77.638,1112.877,24.246
2.700,-673.190,158.482,-93.884,431.154,136.504,-77.638,1104.562,16.246
2.800,-623.324,160.325,-83.884,431.154,136.504,-77.638,1054.747,6.246
2.900,-574.323,169.657,-75.884,431.154,136.504,-77.638,1006.023,1.754
3.000,-526.736,184.615,-67.884,431.154,136.504,-77.638,959.097,9.754
3.100,-482.160,207.116,-61.884,431.154,136.504,-77.638,916.039,15.754
3.200,-437.346,229.086,-67.884,431.154,136.504,-77.638,873.420,9.754
3.300,-389.493,243.215,-77.884,431.154,136.504,-77.638,827.556,0.246
3.400,-339.831,247.661,-89.884,431.154,136.504,-77.638,778.956,12.246
3.500,-290.229,242.258,-99.884,431.154,136.504,-77.638,729.093,22.246
3.600,-242.095,229.165,-109.884,431.154,136.504,-77.638,679.596,32.246
3.700,-195.123,212.176,-109.884,431.154,136.504,-77.638,630.832,32.246
3.800,-148.151,195.188,-109.884,431.154,136.504,-77.638,582.269,32.246
3.900,-101.179,178.199,-109.884,431.154,136.504,-77.638,533.963,32.246
4.000,-54.207,161.210,-109.884,431.154,136.504,-77.638,485.989,32.246
4.100,-7.234,144.222,-109.884,431.154,136.504,-77.638,438.456,32.246
4.200,40.010,128.061,-105.884,431.154,136.504,-77.638,391.234,28.246
4.300,89.114,119.211,-95.884,431.154,136.504,-77.638,342.476,18.246
4.400,139.009,119.021,-85.884,431.154,136.504,-77.638,292.667,8.246
4.500,188.179,127.499,-75.884,431.154,136.504,-77.638,243.142,1.754
4.600,234.692,145.462,-63.884,431.154,136.504,-77.638,196.666,13.754
4.700,278.747,169.002,-61.884,431.154,136.504,-77.638,155.833,15.754
4.800,325.260,186.965,-73.884,431.154,136.504,-77.638,117.301,3.754
4.900,374.430,195.442,-83.884,431.154,136.504,-77.638,81.800,6.246
5.000,407.656,197.251,-91.884,431.154,136.504,-77.638,65.133,14.246
5.100,407.656,197.251,-101.884,431.154,136.504,-77.638,65.133,24.246
5.200,407.656,197.251,-113.884,431.154,136.504,-77.638,65.133,36.246
5.300,407.656,197.251,-117.884,431.154,136.504,-77.638,65.133,40.246
5.400,407.656,197.251,-111.884,431.154,136.504,-77.638,65.133,34.246
5.500,407.656,197.251,-101.884,431.154,136.504,-77.638,65.133,24.246
5.600,407.656,197.251,-89.884,431.154,136.504,-77.638,65.133,12.246
5.700,407.656,197.251,-83.884,431.154,136.504,-77.638,65.133,6.246
5.800,407.656,197.251,-77.884,431.154,136.504,-77.638,65.133,0.246
5.900,407.656,197.251,-75.884,431.154,136.504,-77.638,65.133,1.754
6.000,407.656,197.251,-73.884,431.154,136.504,-77.638,65.133,3.754
6.100,407.656,197.251,-73.884,431.154,136.504,-77.638,65.133,3.754
6.200,407.656,197.251,-73.884,431.154,136.504,-77.638,65.133,3.754
6.300,407.656,197.251,-73.884,431.154,136.504,-77.638,65.133,3.754
6.400,407.656,197.251,-73.884,431.154,136.504,-77.638,65.133,3.754
6.500,407.656,197.251,-73.884,431.154,136.504,-77.638,65.133,3.754
6.600,407.656,197.251,-73.884,431.154,136.504,-77.638,65.133,3.754
6.700,407.656,197.251,-73.884,431.154,136.504,-77.638,65.133,3.754
6.800,407.656,197.251,-73.884,431.154,136.504,-77.638,65.133,3.754
6.900,409.966,189.253,-73.884,431.154,136.504,-77.638,56.845,3.754
