elapsed_time,walker_posx,walker_posy,walker_rotz,shadow_posx,shadow_posy,shadow_rotz,distance,angle
0.100,-809.751,-158.888,131.128,573.961,327.295,-76.895,1466.640,151.977
0.200,-809.751,-158.888,131.128,573.961,327.295,-76.895,1466.640,151.977
0.300,-809.751,-158.888,131.128,573.961,327.295,-76.895,1466.640,151.977
0.400,-809.751,-158.888,131.128,573.961,327.295,-76.895,1466.640,151.977
0.500,-809.751,-158.888,131.128,573.961,327.295,-76.895,1466.640,151.977
0.600,-809.751,-158.888,131.128,573.961,327.295,-76.895,1466.640,151.977
0.700,-809.751,-158.888,131.128,573.961,327.295,-76.895,1466.640,151.977
0.800,-840.050,-185.346,131.128,573.961,327.295,-76.895,1504.071,151.977
0.900,-880.000,-225.033,131.128,573.961,327.295,-76.895,1555.336,151.977
1.000,-880.000,-225.033,131.128,573.961,327.295,-76.895,1555.336,151.977
1.100,-880.000,-225.033,131.128,573.961,327.295,-76.895,1555.336,151.977
1.200,-880.000,-225.033,131.128,573.961,327.295,-76.895,1555.336,151.977
1.300,-880.000,-225.033,131.128,573.961,327.295,-76.895,1555.336,151.977
1.400,-880.000,-225.033,131.128,573.961,327.295,-76.895,1555.336,151.977
1.500,-880.000,-225.033,131.128,573.961,327.295,-76.895,1555.336,151.977
1.600,-880.000,-225.033,131.128,573.961,327.295,-76.895,1555.336,151.977
1.700,-880.000,-225.033,131.128,573.961,327.295,-76.895,1555.336,151.977
1.800,-880.000,-225.033,131.128,573.961,327.295,-76.895,1555.336,151.977
1.900,-880.000,-225.033,131.128,573.961,327.295,-76.895,1555.336,151.977
2.000,-880.000,-225.033,134.125,573.961,327.295,-76.895,1555.336,148.980
2.100,-880.000,-225.033,152.107,573.961,327.295,-76.895,1555.336,130.998
2.200,-880.000,-225.033,170.089,573.961,327.295,-76.895,1555.336,113.016
2.300,-880.000,-225.033,-171.929,573.961,327.295,-76.895,1555.336,95.034
2.400,-880.000,-225.033,-153.947,573.961,327.295,-76.895,1555.336,77.052
2.500,-880.000,-225.033,-135.965,573.961,327.295,-76.895,1555.336,59.070
2.600,-880.000,-225.033,-117.983,573.961,327.295,-76.895,1555.336,41.088
2.700,-880.000,-225.033,-100.001,573.961,327.295,-76.895,1555.336,23.106
2.800,-880.000,-225.033,-85.016,573.961,327.295,-76.895,1555.336,8.121
2.900,-880.000,-225.033,-85.016,573.961,327.295,-76.895,1555.336,8.121
3.000,-880.000,-225.033,-85.016,573.961,327.295,-76.895,1555.336,8.121
3.100,-839.927,-221.539,-85.016,573.961,327.295,-76.895,1516.673,8.121
3.200,-779.817,-216.296,-85.016,573.961,327.295,-76.895,1458.838,8.121
3.300,-719.707,-211.054,-85.016,573.961,327.295,-76.895,1401.213,8.121
3.400,-659.597,-205.812,-85.016,573.961,327.295,-76.895,1343.827,8.121
3.500,-600.352,-195.390,-73.028,573.961,327.295,-76.895,1285.384,3.867
3.600,-547.026,-167.676,-55.046,573.961,327.295,-76.895,1225.402,21.849
3.700,-504.861,-124.852,-37.064,573.961,327.295,-76.895,1169.742,39.831
3.800,-476.519,-71.710,-25.076,573.961,327.295,-76.895,1123.706,51.819
3.900,-450.947,-17.059,-25.076,573.961,327.295,-76.895,1081.210,51.819
4.000,-425.374,37.592,-25.076,573.961,327.295,-76.895,1040.480,51.819
4.100,-399.802,92.243,-25.076,573.961,327.295,-76.895,1001.730,51.819
4.200,-346.904,134.108,-25.076,573.961,327.295,-76.895,940.911,51.819
4.300,-266.680,163.187,-25.076,573.961,327.295,-76.895,856.510,51.819
4.400,-222.891,209.313,-25.076,573.961,327.295,-76.895,805.539,51.819
4.500,-197.318,263.964,-25.076,573.961,327.295,-76.895,773.875,51.819
4.600,-171.746,318.615,-25.076,573.961,327.295,-76.895,745.758,51.819
4.700,-146.173,373.266,-25.076,573.961,327.295,-76.895,721.600,51.819
4.800,-120.601,427.917,-25.076,573.961,327.295,-76.895,701.813,51.819
4.900,-58.010,443.041,-25.076,573.961,327.295,-76.895,642.483,51.819
5.000,-30.685,430.254,-25.076,573.961,327.295,-76.895,613.349,51.819
5.100,-30.685,430.254,-25.076,573.961,327.295,-76.895,613.349,51.819
