elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz,distance,angle
0.100,406.588,41.131,30.912,369.109,-361.988,82.287,404.857,51.375
0.200,406.588,41.131,30.912,369.109,-361.988,82.287,404.857,51.375
0.300,406.588,41.131,30.912,369.109,-361.988,82.287,404.857,51.375
0.400,406.588,41.131,30.912,369.109,-361.988,82.287,404.857,51.375
0.500,406.588,41.131,30.912,369.109,-361.988,82.287,404.857,51.375
0.600,406.588,41.131,26.912,369.109,-361.988,82.287,404.857,55.375
0.700,406.588,41.131,18.912,369.109,-361.988,82.287,404.857,63.375
0.800,406.588,41.131,8.912,369.109,-361.988,82.287,404.857,73.375
0.900,406.588,41.131,-1.088,369.109,-361.988,82.287,404.857,83.375
1.000,406.588,41.131,-9.088,369.109,-361.988,82.287,404.857,91.375
1.100,406.588,41.131,-11.088,369.109,-361.988,82.287,404.857,93.375
1.200,406.588,41.131,-9.088,369.109,-361.988,82.287,404.857,91.375
1.300,406.588,41.131,-1.088,369.109,-361.988,82.287,404.857,83.375
1.400,406.588,41.131,8.912,369.109,-361.988,82.287,404.857,73.375
1.500,406.588,41.131,18.912,369.109,-361.988,82.287,404.857,63.375
1.600,406.588,41.131,22.912,369.109,-361.988,82.287,404.857,59.375
1.700,406.588,41.131,32.912,369.109,-361.988,82.287,404.857,49.375
1.800,406.588,41.131,42.912,369.109,-361.988,82.287,404.857,39.375
1.900,406.588,41.131,50.912,369.109,-361.988,82.287,404.857,31.375
2.000,406.588,41.131,58.912,369.109,-361.988,82.287,404.857,23.375
2.100,406.588,41.131,66.912,369.109,-361.988,82.287,404.857,15.375
2.200,406.588,41.131,70.912,369.109,-361.988,82.287,404.857,11.375
2.300,406.588,41.131,76.912,369.109,-361.988,82.287,404.857,5.375
2.400,406.588,41.131,78.912,369.109,-361.988,82.287,404.857,3.375
2.500,406.588,41.131,78.912,369.109,-361.988,82.287,404.857,3.375
2.600,406.588,41.131,78.912,369.109,-361.988,82.287,404.857,3.375
2.700,406.588,41.131,80.912,369.109,-361.988,82.287,404.857,1.375
2.800,406.588,41.131,80.912,369.109,-361.988,82.287,404.857,1.375
2.900,406.588,41.131,80.912,369.109,-361.988,82.287,404.857,1.375
3.000,406.588,41.131,80.912,369.109,-361.988,82.287,404.857,1.375
3.100,406.588,41.131,80.912,369.109,-361.988,82.287,404.857,1.375
3.200,406.588,41.131,80.912,369.109,-361.988,82.287,404.857,1.375
3.300,406.588,41.131,80.912,369.109,-361.988,82.287,404.857,1.375
3.400,398.690,-8.242,80.912,369.109,-361.988,82.287,354.980,1.375
3.500,389.209,-67.512,80.912,369.109,-361.988,82.287,295.161,1.375
3.600,379.731,-126.762,80.912,369.109,-361.988,82.287,235.465,1.375
3.700,370.250,-186.031,80.912,369.109,-361.988,82.287,175.960,1.375
3.800,360.771,-245.291,80.912,369.109,-361.988,82.287,116.994,1.375
3.900,351.291,-304.550,80.912,369.109,-361.988,82.287,60.138,1.375
4.000,346.552,-334.180,80.912,369.109,-361.988,82.287,35.806,1.375
4.100,346.552,-334.180,80.912,369.109,-361.988,82.287,35.806,1.375
