elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz
0.100,-380.513,-487.500,-114.265,144.852,487.781,-153.399
0.200,-380.513,-487.500,-114.265,144.852,487.781,-153.399
0.300,-380.513,-487.500,-114.265,144.852,487.781,-153.399
0.400,-380.513,-487.500,-114.265,144.852,487.781,-153.399
0.500,-380.513,-487.500,-114.265,144.852,487.781,-153.399
0.600,-380.513,-487.500,-118.265,144.852,487.781,-153.399
0.700,-380.513,-487.500,-118.265,144.852,487.781,-153.399
0.800,-380.513,-487.500,-118.265,144.852,487.781,-153.399
0.900,-380.513,-487.500,-124.265,144.852,487.781,-153.399
1.000,-380.513,-487.500,-134.265,144.852,487.781,-153.399
1.100,-380.513,-487.500,-142.265,144.852,487.781,-153.399
1.200,-380.513,-487.500,-136.265,144.852,487.781,-153.399
1.300,-380.513,-487.500,-124.265,144.852,487.781,-153.399
1.400,-380.513,-487.500,-112.265,144.852,487.781,-153.399
1.500,-380.513,-487.500,-100.265,144.852,487.781,-153.399
1.600,-380.513,-487.500,-88.265,144.852,487.781,-153.399
1.700,-380.513,-487.500,-76.265,144.852,487.781,-153.399
1.800,-380.513,-487.500,-64.265,144.852,487.781,-153.399
1.900,-380.513,-487.500,-54.265,144.852,487.781,-153.399
2.000,-380.513,-487.500,-42.265,144.852,487.781,-153.399
2.100,-380.513,-487.500,-30.265,144.852,487.781,-153.399
2.200,-380.513,-487.500,-18.265,144.852,487.781,-153.399
2.300,-371.682,-448.524,-12.265,144.852,487.781,-153.399
2.400,-358.946,-389.939,-12.265,144.852,487.781,-153.399
2.500,-344.173,-331.835,-14.265,144.852,487.781,-153.399
2.600,-329.740,-273.650,-12.265,144.852,487.781,-153.399
2.700,-319.402,-214.612,-8.265,144.852,487.781,-153.399
2.800,-312.514,-155.062,-6.265,144.852,487.781,-153.399
2.900,-305.971,-95.466,-6.265,144.852,487.781,-153.399
3.000,-299.428,-35.871,-6.265,144.852,487.781,-153.399
3.100,-287.737,22.822,-16.265,144.852,487.781,-153.399
3.200,-264.098,77.802,-28.265,144.852,487.781,-153.399
